Date,Yslow_Grade,PageSpeed_Grade,Onload_Times,Total_Size_bytes,Total_Requests,TTFB_ms,HTML_Size_bytes,Redirect_duration_ms,Connection_duration_ms,Backend_duration_ms,DOM_interactive_ms,DOM_content_loaded_ms,DOM_content_loaded_duration_ms,Onload_ms,Onload_duration_ms,Fully_loaded_ms,First_paint_ms,RUM_Speed_Index,First_contentful_paint_ms,Total_Visits,Mobile_Device,Desktop_Device,Monthly_Visits,Avg_Visit_Duration,Pages_Per_Visit,Bounce_Rate,URL,type_website
28-06-2019,54,67,2.354,1521266,111,513,32127,172,267,74,1613,1614,33,2354,95,3831,1299,1423,1594,133,66.71,33.29,23,2.13,2.28,66.39,oup.com,1
28-06-2019,54,20,3.911,1893173,632,1160,28843,242,106,812,2466,2467,234,3911,1,10265,2349,3146,2349,122,47.91,52.09,1.478,4,2.8,61.37,tdpri.com,1
28-06-2019,40,41,6.637,2519704,299,1646,47693,46,54,1546,3444,3475,77,6637,88,7951,1917,2109,1917,131,63.63,36.37,2.282,4.59,3.44,55.36,teslamotorsclub.com,1
28-06-2019,49,49,2.247,2464205,81,514,101152,147,224,143,2090,2090,77,2247,2,4086,1258,1447,1468,95,56.68,43.32,350371,2.25,3.21,56.7,texasbar.com,1
28-06-2019,52,42,4.907,5058710,212,458,15980,170,147,141,1690,1690,240,4907,16,6063,1363,1368,1363,121,29.89,70.11,1.393,3.11,2.8,43.31,theahl.com,1
28-06-2019,61,43,4.295,16485507,471,1045,12335,858,8,179,2112,2113,35,4295,7,24282,1754,1834,1754,120,94.6,5.4,12457,1.03,2.74,81.89,thegameraccess.com,1
28-06-2019,46,31,6.38,2638984,397,563,6887,289,211,63,1543,1543,38,6380,2,7942,942,1150,942,108,56.27,43.73,3.585,5.26,4,57.29,thegearpage.net,1
28-06-2019,53,58,4.314,2777384,174,1068,17086,463,427,178,1993,1993,97,4314,45,4904,1643,1933,1643,136,40.06,59.94,234636,2.48,3.31,53.46,thehairstyler.com,1
28-06-2019,59,70,2.882,1022498,105,1561,31746,870,33,658,2285,2285,83,2882,37,3233,2108,2108,2108,108,56.27,43.73,3.585,5.26,4,57.29,thejournal.ie,1
28-06-2019,53,23,5.95,4920836,168,554,7481,192,266,96,905,905,13,5950,26,6879,774,1383,774,104,34.77,65.23,561656,1.03,1.43,82.51,themeparkinsider.com,1
28-06-2019,52,46,4.685,3919933,147,588,30562,228,238,122,2174,2174,143,4685,2,8600,2003,2574,2003,102,37.61,62.39,482986,1.54,1.7,73.86,thesandtrap.com,1
